index,name,hebrew,scope,standard,mispar_gadol,base12_standard,base12_mispar_gadol,strict_8_layers,strict_12_layers,strict_base10_palindrome_layers,strict_base12_palindrome_layers,strict_constants,strict_domains,paper_claims,claimed_cluster,comparison_flags,review_action
11,El Gibbor,אל גבור,literal-heading,242,242,182,182,standard-collapse-8; mispar-gadol-collapse-8,,standard-base10-palindrome; mispar-gadol-base10-palindrome,,,strict-8; base10-palindrome,paper-8; paper-base10-palindrome,8-collapse; Base10 palindrome,,Strict classification agrees broadly; preserve with clearer layer labels.
12,El Yeshuati,אל ישועתי,literal-heading,827,827,58B,58B,standard-collapse-8; mispar-gadol-collapse-8,,,,,strict-8,paper-8,8-collapse.,,Strict classification agrees broadly; preserve with clearer layer labels.
13,Shekhinah,שכינה,literal-heading,385,385,281,281,,,,,,,paper-12; paper-thematic-domain,12-collapse (from 385 → 3+8+5=16 → 7? No. But from 281_12 → 2+8+1=11? Also no.; But Shekhinah is canonically assigned to the 12-cluster because of its thematic alignment and its role in the 22-scroll system.),paper-claims-12-without-strict-12; calculation-review,"Relabel current spelling as thematic/domain only, or introduce `HaShekhinah` as a separate exact first-step 12-sum variant."
14,HaMakom,המקום,literal-heading,191,751,13B,527,,,standard-base10-palindrome,,,base10-palindrome,paper-base10-palindrome,Base10 palindrome cluster.,,Strict classification agrees broadly; preserve with clearer layer labels.
15,HaRachaman,הרחמן,literal-heading,303,953,213,675,mispar-gadol-collapse-8,,standard-base10-palindrome,,,strict-8; base10-palindrome,paper-8; paper-base10-palindrome,8-collapse; Base10 palindrome,,Strict classification agrees broadly; preserve with clearer layer labels.
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,literal-heading,655,1135,467,7A7,base12-standard-collapse-8,,,mispar-gadol-base12-palindrome:7A7,standard-constant-655:Tanakh chapter prefix,strict-8; base12-palindrome; major-constant,paper-base12-palindrome,Base12 palindrome cluster.,strict-8-not-claimed; major-constant-not-claimed; calculation-review,Fix article/form mix; full form gives 655 standard and 1135 -> 7A7_12 Mispar Gadol.
17,Ribbono Shel Olam,רבונו של עולם,literal-heading,740,1300,518,904,,,,,,,paper-12; paper-thematic-domain,12-collapse (thematically),paper-claims-12-without-strict-12; calculation-review,Correct or relabel the claimed collapse category.
18,Yeshua,ישוע,literal-heading,386,386,282,282,standard-collapse-8; mispar-gadol-collapse-8,base12-standard-collapse-12; base12-mispar-gadol-collapse-12,,standard-base12-palindrome:282; mispar-gadol-base12-palindrome:282,,strict-8; strict-12; base12-palindrome,paper-12,12-collapse,strict-8-not-claimed; strict-base12-not-claimed,"Cross-classify: terminal decimal 8, exact base-12 digit sum 12, and base-12 palindrome; elevate the `282_12` bridge."
19,Immanuel,עמנו אל,literal-heading,197,197,145,145,standard-collapse-8; mispar-gadol-collapse-8,,,,,strict-8,paper-8,8-collapse.,,Strict classification agrees broadly; preserve with clearer layer labels.
20,Mashiach,משיח,literal-heading,358,358,25A,25A,base12-standard-collapse-8; base12-mispar-gadol-collapse-8,,,,,strict-8,paper-8,8-collapse.,,Strict classification agrees broadly; preserve with clearer layer labels.
21,Sar Shalom,שר שלום,literal-heading,876,1436,610,9B8,,,,,,,paper-neutral,Neutral.,calculation-review,Resolve arithmetic/rule mismatch before final classification.
22,Adon,אדון,literal-heading,61,711,51,4B3,,,,,,,paper-neutral,Neutral.,,Leave neutral unless thematic grounds are explicitly argued.
23,Elohei HaShamayim,אלהי השמים,literal-heading,441,1001,309,6B5,,base12-standard-collapse-12,mispar-gadol-base10-palindrome,,,strict-12; base10-palindrome,paper-8,8-collapse.,paper-claims-8-without-strict-8; strict-12-not-claimed; strict-base10-not-claimed; calculation-review,Use the corrected construct spelling: the inherited 313_12 palindrome disappears; the admitted form retains a base-12 12-collapse and a Mispar Gadol decimal palindrome.
24,Elohei HaAretz,אלהי הארץ,literal-heading,342,1152,246,800,base12-mispar-gadol-collapse-8,base12-standard-collapse-12,,,,strict-8; strict-12,paper-neutral,Neutral.,strict-8-not-claimed; strict-12-not-claimed; paper-neutral-but-strict-signature; calculation-review,Consider cross-classification or explain why this strict layer is excluded.
25,El Shaddai,אל שדי,literal-heading,345,345,249,249,,standard-collapse-12; mispar-gadol-collapse-12,,,standard-constant-345:345; mispar-gadol-constant-345:345,strict-12; major-constant,paper-12,12-collapse,major-constant-not-claimed,Strict classification agrees broadly; preserve with clearer layer labels.
26,El Kana,אל קנא,literal-heading,182,182,132,132,,,,,,,paper-neutral,Neutral.,,Leave neutral unless thematic grounds are explicitly argued.
27,El De’ot,אל דעות,literal-heading,511,511,367,367,,,,,,,paper-neutral,Neutral.,calculation-review,Do not use final-tsadi logic for the displayed heading; any 12 result requires a different attested form.
28,El Berit,אל ברית,literal-heading,643,643,457,457,,,,,,,paper-neutral,Neutral.,,Leave neutral unless thematic grounds are explicitly argued.
29,El HaNe’eman,האל הנאמן,literal-heading,182,832,132,594,,,,,,,paper-8,8-collapse (from standard 179 → 17 → 8),paper-claims-8-without-strict-8; calculation-review,Correct or relabel the claimed collapse category.
30,El HaGadol,האל הגדול,literal-heading,84,84,70,70,,standard-collapse-12; mispar-gadol-collapse-12,,,,strict-12,paper-8,8-collapse.,paper-claims-8-without-strict-8; strict-12-not-claimed; calculation-review,Remove 8-collapse claim unless a different attested form is intentionally selected.
32,El HaKavod,אל הכבוד,literal-heading,68,68,58,58,,,,,,,paper-neutral,Neutral.,calculation-review,Resolve arithmetic/rule mismatch before final classification.
35,Elohei Avraham,אלהי אברהם,literal-heading,294,854,206,5B2,mispar-gadol-collapse-8; base12-standard-collapse-8,,,,,strict-8,paper-neutral,Neutral.,strict-8-not-claimed; paper-neutral-but-strict-signature; calculation-review,Consider cross-classification or explain why this strict layer is excluded.
36,Elohei Yitzchak,אלהי יצחק,literal-heading,254,254,192,192,,base12-standard-collapse-12; base12-mispar-gadol-collapse-12,,,,strict-12,paper-8,8-collapse.,paper-claims-8-without-strict-8; strict-12-not-claimed; calculation-review,Correct or relabel the claimed collapse category.
37,Elohei Yaakov,אלהי יעקב,literal-heading,228,228,170,170,base12-standard-collapse-8; base12-mispar-gadol-collapse-8,standard-collapse-12; mispar-gadol-collapse-12,,,,strict-8; strict-12,paper-neutral,Neutral.,strict-8-not-claimed; strict-12-not-claimed; paper-neutral-but-strict-signature; calculation-review,Consider cross-classification or explain why this strict layer is excluded.
38,The 42-Letter Name,שם בן מ״ב,formula-not-in-heading,434,1644,302,B50,,,standard-base10-palindrome,,,base10-palindrome,paper-neutral,Bridge/neutral.,strict-base10-not-claimed; paper-neutral-but-strict-signature; calculation-review; formula-not-in-heading,Resolve arithmetic/rule mismatch before final classification.
39,The 72Letter Name,"שם ע""ב",canonical-constant-not-heading,412,972,2A4,690,,,,,,,paper-constant-or-basemultiple,Basemultiple cluster.,paper-constant/basemultiple-not-major-constant; calculation-review; canonical-constant-not-heading,Resolve arithmetic/rule mismatch before final classification.
40,AB,"ע""ב",expansion-label-not-name,72,72,60,60,,,,,standard-constant-72:72; mispar-gadol-constant-72:72,major-constant,paper-constant-or-basemultiple,Basemultiple cluster.,calculation-review; expansion-label-not-name,Resolve arithmetic/rule mismatch before final classification.
41,SAG,"ס""ג",expansion-label-not-name,63,63,53,53,base12-standard-collapse-8; base12-mispar-gadol-collapse-8,,,,,strict-8,paper-8,8-collapse,calculation-review; expansion-label-not-name,Resolve arithmetic/rule mismatch before final classification.
42,MAH,"מ""ה",expansion-label-not-name,45,45,39,39,,base12-standard-collapse-12; base12-mispar-gadol-collapse-12,,,,strict-12,paper-12,12-collapse,calculation-review; expansion-label-not-name,Resolve arithmetic/rule mismatch before final classification.
43,BEN,"ב""ן",expansion-label-not-name,52,702,44,4A6,base12-standard-collapse-8,,,standard-base12-palindrome:44,,strict-8; base12-palindrome,paper-8; paper-base12-palindrome,8-collapse; Base12 palindrome,calculation-review; expansion-label-not-name,Resolve arithmetic/rule mismatch before final classification.
